area_type,id,acs_population,count,count_last_60_days,rate,deaths,multipolygon
Census Tract,06075010101,2045,360,13,1760.391198,3,"MULTIPOLYGON (((-122.4210759996576 37.81288900002738, -122.42081200007374 37.811879000215754, -122.42080499975089 37.81185099982383, -122.42002000042265 37.80884100041192, -122.41969299973209 37.808681000228034, -122.4192239996878 37.80845299960629, -122.41920999994153 37.808388000206094, -122.41908599961914 37.80780300020837, -122.41890800040386 37.80686300002748, -122.41878199998928 37.8062410001221, -122.41871799973586 37.805932000261635, -122.41838100038285 37.80597699963886, -122.41722600017971 37.8051700001954, -122.41688799988128 37.8052120003336, -122.41524100037185 37.8054169998947, -122.41360400042424 37.805618000170625, -122.4119499996927 37.805824999823926, -122.41185799994673 37.80536100001018, -122.41176600020071 37.804896000150336, -122.41158099976332 37.8039630002923, -122.40993600034608 37.80416799985335, -122.40932500004868 37.804242999714745, -122.40833200012167 37.804367000037075, -122.4075310000556 37.80446600010589, -122.40675000001244 37.80445499959859, -122.40670000040467 37.80449499964459, -122.40662499964401 37.80453499969053, -122.40625599971457 37.804606000266745, -122.40595400017696 37.80466400024346, -122.40517400017995 37.80476300031228, -122.40349500009415 37.805089000057365, -122.40315499970342 37.80512199978051, -122.40227000026027 37.80512700001111, -122.40178699957033 37.80531399964144, -122.40058900008228 37.8060219999154, -122.39848200004423 37.80722799977241, -122.405782000339 37.81172800044692, -122.40748199959455 37.8127279997974, -122.42018199979941 37.81292800002723, -122.4210759996576 37.81288900002738)))"
Census Tract,06075010102,1920,374,15,1947.916667,0,"MULTIPOLYGON (((-122.41688799988128 37.8052120003336, -122.41681800025049 37.80488699973529, -122.41605099995365 37.80435600042915, -122.4154459999329 37.80393699999263, -122.4148769997737 37.803541999763524, -122.41371800028543 37.80369499962461, -122.41322299994147 37.80376099997022, -122.41284999982759 37.80380700029286, -122.41158099976332 37.8039630002923, -122.41176600020071 37.804896000150336, -122.41185799994673 37.80536100001018, -122.4119499996927 37.805824999823926, -122.41360400042424 37.805618000170625, -122.41524100037185 37.8054169998947, -122.41688799988128 37.8052120003336)))"
Census Tract,06075010201,2331,384,10,1647.361647,3,"MULTIPOLYGON (((-122.42483500033495 37.802268000367974, -122.42481500031198 37.80217499967654, -122.42479800042736 37.80209100029947, -122.42466799982827 37.8014260002098, -122.42463400005903 37.80135699972578, -122.4246069997132 37.80129999979522, -122.42460100033588 37.801260999795375, -122.42446400031332 37.80040199975252, -122.42444300024425 37.80031200009876, -122.4242919995761 37.79956499982495, -122.42427499969148 37.799472000032836, -122.42408700001499 37.799495000194156, -122.42252499992878 37.79969400037788, -122.42088299975063 37.79990200007728, -122.42076899988939 37.79993899998493, -122.42030500007564 37.79999800000775, -122.41923300010285 37.800133999984155, -122.4175869997402 37.800340999637456, -122.41770199964753 37.80084400035037, -122.4177989996241 37.80126700007207, -122.41787699962379 37.801706999678345, -122.41796600013078 37.80220099997621, -122.41805999996899 37.802679000435546, -122.41815099966885 37.8031349998804, -122.41863799964392 37.803072999719234, -122.41904999975765 37.803021000019214, -122.41979700003151 37.802927000180944, -122.42148000030176 37.80269500027407, -122.42175100020847 37.80265200008978, -122.4217680000931 37.80264999999753, -122.4221640003683 37.802616000228284, -122.42219099981475 37.802603999674886, -122.42229300002191 37.80259099997471, -122.42252700002098 37.802561000389915, -122.42308799981129 37.8024899998137, -122.4246530000359 37.802290999629975, -122.42483500033495 37.802268000367974)))"
Census Tract,06075010202,1984,352,6,1774.193548,2,"MULTIPOLYGON (((-122.42684799963547 37.8090189996272, -122.4268289996586 37.80897000006553, -122.42682600041957 37.80882399962792, -122.42683099975079 37.808796000135374, -122.42681199977392 37.8087020002971, -122.42681599995842 37.808624000297414, -122.4267179999357 37.808168999999396, -122.42670000000498 37.80806899988448, -122.4265819999593 37.80802399960794, -122.42648900016718 37.80765200043953, -122.4262570002603 37.80718499958812, -122.42577999984707 37.80671500039699, -122.42562800003213 37.80645600014435, -122.42548799987128 37.80601000026138, -122.4252990001487 37.80507800044944, -122.42538200037899 37.804971000011676, -122.42523099971083 37.80422599983007, -122.42520899959561 37.80413300003795, -122.42519099966489 37.804026999646396, -122.42513199964202 37.8037379998089, -122.42506300005738 37.80339900036364, -122.42504199998825 37.80329299997203, -122.42501699973474 37.803193999903215, -122.42500400003456 37.8031070003878, -122.42485300026573 37.80236100016009, -122.42483500033495 37.802268000367974, -122.4246530000359 37.802290999629975, -122.42308799981129 37.8024899998137, -122.42252700002098 37.802561000389915, -122.42229300002191 37.80259099997471, -122.42219099981475 37.802603999674886, -122.4221640003683 37.802616000228284, -122.4217680000931 37.80264999999753, -122.42175100020847 37.80265200008978, -122.42148000030176 37.80269500027407, -122.41979700003151 37.802927000180944, -122.41904999975765 37.803021000019214, -122.41863799964392 37.803072999719234, -122.41815099966885 37.8031349998804, -122.41825600001437 37.80365000024739, -122.41821599996837 37.80368700015498, -122.41828100026794 37.80402300036121, -122.41834100033685 37.80406999983069, -122.4184130000599 37.804425000013794, -122.41844499973689 37.804579999967075, -122.41853100010553 37.8049990004036, -122.41860499992077 37.80537299966426, -122.41871799973586 37.805932000261635, -122.41878199998928 37.8062410001221, -122.41890800040386 37.80686300002748, -122.41908599961914 37.80780300020837, -122.41920999994153 37.808388000206094, -122.4192239996878 37.80845299960629, -122.41969299973209 37.808681000228034, -122.42002000042265 37.80884100041192, -122.42080499975089 37.81185099982383, -122.42081200007374 37.811879000215754, -122.4210759996576 37.81288900002738, -122.42248199974443 37.812827999912315, -122.42449099975983 37.81273199998185, -122.42458200035901 37.8127279997974, -122.42518200014916 37.81262799968249, -122.4259020000772 37.812057000330356, -122.42487600042705 37.81079899987401, -122.42489799964295 37.81079199955121, -122.42506099996513 37.81077899985104, -122.4252220001951 37.810754999643564, -122.42538000028674 37.81071899978207, -122.42556299973262 37.8106629998976, -122.42573699966277 37.81059200022071, -122.42587499973143 37.810520999644496, -122.42600500033046 37.81044199959865, -122.42614799973035 37.81033500006026, -122.42616599966112 37.81031299994504, -122.42622000035271 37.81026999976075, -122.42627700028328 37.81021299983013, -122.4264100001214 37.810064000153545, -122.42652700012093 37.80990500001582, -122.42662500014359 37.809739999601334, -122.42667099956697 37.809639000339644, -122.42670400018943 37.80956799976343, -122.4267650003045 37.809391999741024, -122.4268060003966 37.80921100038739, -122.42682400032731 37.80906599999594, -122.42684799963547 37.8090189996272)))"
Census Tract,06075010300,4282,657,16,1534.329752,2,"MULTIPOLYGON (((-122.41871799973586 37.805932000261635, -122.41860499992077 37.80537299966426, -122.41853100010553 37.8049990004036, -122.41844499973689 37.804579999967075, -122.4184130000599 37.804425000013794, -122.41834100033685 37.80406999983069, -122.41828100026794 37.80402300036121, -122.41821599996837 37.80368700015498, -122.41825600001437 37.80365000024739, -122.41815099966885 37.8031349998804, -122.41805999996899 37.802679000435546, -122.41796600013078 37.80220099997621, -122.41787699962379 37.801706999678345, -122.4177989996241 37.80126700007207, -122.41770199964753 37.80084400035037, -122.4175869997402 37.800340999637456, -122.41749299990198 37.79990600026173, -122.4173850003175 37.79941400005612, -122.41738799955652 37.799317000079554, -122.41734899955662 37.799127000310875, -122.41731199964903 37.79894199987342, -122.41721799981082 37.79847199978303, -122.41583099970086 37.798646999759285, -122.41557200034748 37.79868000038175, -122.41457300014383 37.79880599989701, -122.41393100021543 37.798888000081206, -122.41293500015013 37.79901399959647, -122.41228299976058 37.799095999780604, -122.41240800012906 37.79971799968598, -122.41241799969089 37.79976500005478, -122.41247100033638 37.80003199977705, -122.4125300003592 37.80032299970674, -122.4126600000589 37.800964999635084, -122.41275399989712 37.80143000039425, -122.41284899978149 37.8018930001619, -122.4129079998043 37.802184000091586, -122.41371900033158 37.80274299978964, -122.4148769997737 37.803541999763524, -122.4154459999329 37.80393699999263, -122.41605099995365 37.80435600042915, -122.41681800025049 37.80488699973529, -122.41688799988128 37.8052120003336, -122.41722600017971 37.8051700001954, -122.41838100038285 37.80597699963886, -122.41871799973586 37.805932000261635)))"
Census Tract,06075010401,2305,425,13,1843.817787,4,"MULTIPOLYGON (((-122.4148769997737 37.803541999763524, -122.41371900033158 37.80274299978964, -122.4129079998043 37.802184000091586, -122.41254099996712 37.80193100011559, -122.41137600020221 37.80112499981897, -122.41101899992685 37.80117000009545, -122.40936900027913 37.80137100037143, -122.40892899977348 37.8014260002098, -122.40855200037447 37.80147299967922, -122.40813299993795 37.801525000278616, -122.40777000028527 37.80157099970194, -122.40789599980053 37.80220300006846, -122.40789999998498 37.80222300009143, -122.40795599986944 37.80250499960607, -122.40802899963859 37.802862999927584, -122.40807499996123 37.803085000272574, -122.40814599963812 37.803433000132884, -122.40824499970694 37.80392600038465, -122.40833200012167 37.804367000037075, -122.40932500004868 37.804242999714745, -122.40993600034608 37.80416799985335, -122.41158099976332 37.8039630002923, -122.41284999982759 37.80380700029286, -122.41322299994147 37.80376099997022, -122.41371800028543 37.80369499962461, -122.4148769997737 37.803541999763524)))"
Census Tract,06075010402,2238,325,11,1452.189455,2,"MULTIPOLYGON (((-122.40833200012167 37.804367000037075, -122.40824499970694 37.80392600038465, -122.40814599963812 37.803433000132884, -122.40807499996123 37.803085000272574, -122.40802899963859 37.802862999927584, -122.40795599986944 37.80250499960607, -122.40789999998498 37.80222300009143, -122.40789599980053 37.80220300006846, -122.40777000028527 37.80157099970194, -122.4074610004248 37.80161099974788, -122.40698800019601 37.8016739999552, -122.40652699962129 37.801735000070266, -122.40628700024484 37.80176599970116, -122.40624700019885 37.80175700018549, -122.40621699971473 37.80174799977044, -122.40619899978395 37.80172000027784, -122.4060239998077 37.800834999935375, -122.40583400003902 37.799901000031184, -122.40579700013143 37.79972099982433, -122.40574300033916 37.79945400010206, -122.4056450003165 37.798969000219245, -122.40463300041262 37.799097999872856, -122.40405299974611 37.7991719996881, -122.40369000009338 37.79921800001074, -122.40364499981683 37.79922400028744, -122.40325299972613 37.799273999895206, -122.40242100002911 37.79938200037907, -122.40260400037431 37.80030699986821, -122.40278999995849 37.8012419998185, -122.40288099965835 37.80169800016262, -122.40297400034979 37.802167000206964, -122.40315999993402 37.80309799997275, -122.40352100039382 37.80305499978846, -122.40479799992772 37.802900999881274, -122.40498599960415 37.80383299969321, -122.40517400017995 37.80476300031228, -122.40595400017696 37.80466400024346, -122.40625599971457 37.804606000266745, -122.40662499964401 37.80453499969053, -122.40670000040467 37.80449499964459, -122.40675000001244 37.80445499959859, -122.4075310000556 37.80446600010589, -122.40833200012167 37.804367000037075)))"
Census Tract,06075010500,3151,545,26,1729.609648,3,"MULTIPOLYGON (((-122.40517400017995 37.80476300031228, -122.40498599960415 37.80383299969321, -122.40479799992772 37.802900999881274, -122.40352100039382 37.80305499978846, -122.40315999993402 37.80309799997275, -122.40297400034979 37.802167000206964, -122.40288099965835 37.80169800016262, -122.40278999995849 37.8012419998185, -122.40260400037431 37.80030699986821, -122.40242100002911 37.79938200037907, -122.40222900016818 37.79842999964484, -122.40219200026058 37.798250000337305, -122.40204099959243 37.797505000155695, -122.40086300012734 37.79765399983228, -122.40068099982824 37.79677699985871, -122.40048599982902 37.795874999631565, -122.40041300005987 37.79544799972547, -122.40032899978348 37.79501300034974, -122.40023900012972 37.794574999936344, -122.40014899957663 37.79413400028392, -122.39897000006539 37.794284000006655, -122.39779599988543 37.794433999729335, -122.39658599984398 37.79458799963652, -122.3963899997986 37.79366400019353, -122.39631499993726 37.79333700040229, -122.39570499968596 37.79379299984714, -122.39565500007814 37.79383099980083, -122.39486000028876 37.79445899998291, -122.39474799962045 37.79448000005203, -122.39381899994686 37.79373800000877, -122.39318100020296 37.79322999996458, -122.39258199955958 37.79370400023947, -122.39241399990613 37.79381099977786, -122.39218099995315 37.793927999777395, -122.39198199976943 37.79387199989293, -122.39148700032479 37.793859000192754, -122.38898099987324 37.796628000182125, -122.39338199957956 37.801927999977295, -122.39848200004423 37.80722799977241, -122.40058900008228 37.8060219999154, -122.40178699957033 37.80531399964144, -122.40227000026027 37.80512700001111, -122.40315499970342 37.80512199978051, -122.40349500009415 37.805089000057365, -122.40517400017995 37.80476300031228)))"
Census Tract,06075010600,3426,640,29,1868.067717,8,"MULTIPOLYGON (((-122.41101899992685 37.80117000009545, -122.41137600020221 37.80112499981897, -122.41095399962734 37.800832999843124, -122.41020700025285 37.800315000237106, -122.40901400009602 37.799489999963555, -122.40786900035403 37.79869700026643, -122.40708300008038 37.79815200031459, -122.4066679998283 37.797864999670026, -122.40622600012978 37.79755899994797, -122.40551299962522 37.79706499965005, -122.40531799962594 37.79708999990362, -122.40477000043512 37.797160000433735, -122.40405799997666 37.7972500000875, -122.4036760003471 37.797297999603074, -122.40288699993505 37.797395999625735, -122.40204099959243 37.797505000155695, -122.40219200026058 37.798250000337305, -122.40222900016818 37.79842999964484, -122.40242100002911 37.79938200037907, -122.40325299972613 37.799273999895206, -122.40364499981683 37.79922400028744, -122.40369000009338 37.79921800001074, -122.40405299974611 37.7991719996881, -122.40463300041262 37.799097999872856, -122.4056450003165 37.798969000219245, -122.40574300033916 37.79945400010206, -122.40579700013143 37.79972099982433, -122.40583400003902 37.799901000031184, -122.4060239998077 37.800834999935375, -122.40619899978395 37.80172000027784, -122.40621699971473 37.80174799977044, -122.40624700019885 37.80175700018549, -122.40628700024484 37.80176599970116, -122.40652699962129 37.801735000070266, -122.40698800019601 37.8016739999552, -122.4074610004248 37.80161099974788, -122.40777000028527 37.80157099970194, -122.40813299993795 37.801525000278616, -122.40855200037447 37.80147299967922, -122.40892899977348 37.8014260002098, -122.40936900027913 37.80137100037143, -122.41101899992685 37.80117000009545)))"
Census Tract,06075010701,3800,553,32,1455.263158,20,"MULTIPOLYGON (((-122.41209600013025 37.79816500001482, -122.41207400001508 37.798057000430276, -122.41192999966972 37.79734299987962, -122.41191099969285 37.7972449998569, -122.41189799999268 37.79717700031836, -122.41188300020025 37.797104999696046, -122.41186200013118 37.79700100029601, -122.41185599985448 37.79697199985799, -122.41171899983192 37.79629099992974, -122.4108920003655 37.796395000229154, -122.41051099988272 37.79644299974467, -122.41007599960767 37.796493000251814, -122.40925100023344 37.796598999744106, -122.40884899968154 37.79665000029735, -122.40875399979723 37.79666199995137, -122.40843100019049 37.79670400008956, -122.40773300037762 37.79678999955888, -122.40761999966321 37.796804000204475, -122.40748100044777 37.79682100008915, -122.40682800001218 37.79690200022719, -122.40652699962129 37.796944000365386, -122.40551299962522 37.79706499965005, -122.40622600012978 37.79755899994797, -122.4066679998283 37.797864999670026, -122.40708300008038 37.79815200031459, -122.40786900035403 37.79869700026643, -122.40794500026152 37.79868699980523, -122.4088079995895 37.79857099985179, -122.40963900013969 37.79847099973688, -122.40987900041551 37.79844200019818, -122.41045600004435 37.79837299971422, -122.41175499969347 37.79820800019911, -122.41209600013025 37.79816500001482)))"
