FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Total,No Health Insurance,With Health Insurance,Public Health Insurance,Private Health Insurance,Percent No Health Insurance,Percent With Health Insurance,Percent Public Health Insurance,Percent Private Health Insurance
06075010101,"Census Tract 101.01, San Francisco County, California",ACSSF,ca,140,0,9875,6,75,10101,14000US06075010101,Census Tract 101.01,,2118,129,1989,551,1550,6.09,93.91,26.02,73.18
06075010102,"Census Tract 101.02, San Francisco County, California",ACSSF,ca,140,0,9876,6,75,10102,14000US06075010102,Census Tract 101.02,,1783,0,1783,1045,932,0,100,58.61,52.27
06075010201,"Census Tract 102.01, San Francisco County, California",ACSSF,ca,140,0,9877,6,75,10201,14000US06075010201,Census Tract 102.01,,2499,29,2470,474,2361,1.16,98.84,18.97,94.48
06075010202,"Census Tract 102.02, San Francisco County, California",ACSSF,ca,140,0,9878,6,75,10202,14000US06075010202,Census Tract 102.02,,1891,0,1891,417,1681,0,100,22.05,88.89
06075010300,"Census Tract 103, San Francisco County, California",ACSSF,ca,140,0,9879,6,75,10300,14000US06075010300,Census Tract 103,,3996,53,3943,1096,3314,1.33,98.67,27.43,82.93
06075010401,"Census Tract 104.01, San Francisco County, California",ACSSF,ca,140,0,9880,6,75,10401,14000US06075010401,Census Tract 104.01,,2202,11,2191,373,1999,0.5,99.5,16.94,90.78
06075010402,"Census Tract 104.02, San Francisco County, California",ACSSF,ca,140,0,9881,6,75,10402,14000US06075010402,Census Tract 104.02,,2292,149,2143,545,1775,6.5,93.5,23.78,77.44
06075010500,"Census Tract 105, San Francisco County, California",ACSSF,ca,140,0,9882,6,75,10500,14000US06075010500,Census Tract 105,,3430,102,3328,1471,2313,2.97,97.03,42.89,67.43
06075010600,"Census Tract 106, San Francisco County, California",ACSSF,ca,140,0,9883,6,75,10600,14000US06075010600,Census Tract 106,,3277,198,3079,1179,2165,6.04,93.96,35.98,66.07
06075010701,"Census Tract 107.01, San Francisco County, California",ACSSF,ca,140,0,9884,6,75,10701,14000US06075010701,Census Tract 107.01,,3458,100,3358,2481,1025,2.89,97.11,71.75,29.64
06075010702,"Census Tract 107.02, San Francisco County, California",ACSSF,ca,140,0,9885,6,75,10702,14000US06075010702,Census Tract 107.02,,1584,143,1441,575,1068,9.03,90.97,36.3,67.42
06075010800,"Census Tract 108, San Francisco County, California",ACSSF,ca,140,0,9886,6,75,10800,14000US06075010800,Census Tract 108,,4999,166,4833,1612,3728,3.32,96.68,32.25,74.57
06075010901,"Census Tract 109.01, San Francisco County, California",ACSSF,ca,140,0,9887,6,75,10901,14000US06075010901,Census Tract 109.01,,1948,13,1935,350,1837,0.67,99.33,17.97,94.3
06075010902,"Census Tract 109.02, San Francisco County, California",ACSSF,ca,140,0,9888,6,75,10902,14000US06075010902,Census Tract 109.02,,2403,54,2349,551,1966,2.25,97.75,22.93,81.81
06075011001,"Census Tract 110.01, San Francisco County, California",ACSSF,ca,140,0,9889,6,75,11001,14000US06075011001,Census Tract 110.01,,2628,194,2434,551,2107,7.38,92.62,20.97,80.18
06075011002,"Census Tract 110.02, San Francisco County, California",ACSSF,ca,140,0,9890,6,75,11002,14000US06075011002,Census Tract 110.02,,2249,134,2115,566,1754,5.96,94.04,25.17,77.99
06075011101,"Census Tract 111.01, San Francisco County, California",ACSSF,ca,140,0,9891,6,75,11101,14000US06075011101,Census Tract 111.01,,2528,21,2507,779,2123,0.83,99.17,30.81,83.98
06075011102,"Census Tract 111.02, San Francisco County, California",ACSSF,ca,140,0,9892,6,75,11102,14000US06075011102,Census Tract 111.02,,1981,93,1888,533,1413,4.69,95.31,26.91,71.33
06075011200,"Census Tract 112, San Francisco County, California",ACSSF,ca,140,0,9893,6,75,11200,14000US06075011200,Census Tract 112,,3120,83,3037,822,2604,2.66,97.34,26.35,83.46
06075011300,"Census Tract 113, San Francisco County, California",ACSSF,ca,140,0,9894,6,75,11300,14000US06075011300,Census Tract 113,,2801,42,2759,1665,1394,1.5,98.5,59.44,49.77
06075011700,"Census Tract 117, San Francisco County, California",ACSSF,ca,140,0,9895,6,75,11700,14000US06075011700,Census Tract 117,,1800,136,1664,797,1121,7.56,92.44,44.28,62.28
06075011800,"Census Tract 118, San Francisco County, California",ACSSF,ca,140,0,9896,6,75,11800,14000US06075011800,Census Tract 118,,1658,62,1596,922,765,3.74,96.26,55.61,46.14
06075011901,"Census Tract 119.01, San Francisco County, California",ACSSF,ca,140,0,9897,6,75,11901,14000US06075011901,Census Tract 119.01,,2298,95,2203,419,2027,4.13,95.87,18.23,88.21
06075011902,"Census Tract 119.02, San Francisco County, California",ACSSF,ca,140,0,9898,6,75,11902,14000US06075011902,Census Tract 119.02,,2771,82,2689,859,1990,2.96,97.04,31,71.82
06075012001,"Census Tract 120.01, San Francisco County, California",ACSSF,ca,140,0,9899,6,75,12001,14000US06075012001,Census Tract 120.01,,1834,18,1816,532,1369,0.98,99.02,29.01,74.65
06075012002,"Census Tract 120.02, San Francisco County, California",ACSSF,ca,140,0,9900,6,75,12002,14000US06075012002,Census Tract 120.02,,2202,289,1913,471,1463,13.12,86.88,21.39,66.44
06075012100,"Census Tract 121, San Francisco County, California",ACSSF,ca,140,0,9901,6,75,12100,14000US06075012100,Census Tract 121,,3846,129,3717,671,3324,3.35,96.65,17.45,86.43
06075012202,"Census Tract 122.02, San Francisco County, California",ACSSF,ca,140,0,9902,6,75,12202,14000US06075012202,Census Tract 122.02,,2807,239,2568,1371,1464,8.51,91.49,48.84,52.16
06075012203,"Census Tract 122.03, San Francisco County, California",ACSSF,ca,140,0,9903,6,75,12203,14000US06075012203,Census Tract 122.03,,1834,128,1706,936,802,6.98,93.02,51.04,43.73
06075012204,"Census Tract 122.04, San Francisco County, California",ACSSF,ca,140,0,9904,6,75,12204,14000US06075012204,Census Tract 122.04,,2763,209,2554,865,1902,7.56,92.44,31.31,68.84
06075012301,"Census Tract 123.01, San Francisco County, California",ACSSF,ca,140,0,9905,6,75,12301,14000US06075012301,Census Tract 123.01,,1887,69,1818,1190,818,3.66,96.34,63.06,43.35
06075012302,"Census Tract 123.02, San Francisco County, California",ACSSF,ca,140,0,9906,6,75,12302,14000US06075012302,Census Tract 123.02,,2600,134,2466,904,1663,5.15,94.85,34.77,63.96
06075012403,"Census Tract 124.03, San Francisco County, California",ACSSF,ca,140,0,9907,6,75,12403,14000US06075012403,Census Tract 124.03,,2591,45,2546,1669,1025,1.74,98.26,64.42,39.56
06075012404,"Census Tract 124.04, San Francisco County, California",ACSSF,ca,140,0,9908,6,75,12404,14000US06075012404,Census Tract 124.04,,2566,74,2492,1522,1153,2.88,97.12,59.31,44.93
06075012405,"Census Tract 124.05, San Francisco County, California",ACSSF,ca,140,0,9909,6,75,12405,14000US06075012405,Census Tract 124.05,,3817,168,3649,1096,2792,4.4,95.6,28.71,73.15
06075012406,"Census Tract 124.06, San Francisco County, California",ACSSF,ca,140,0,9910,6,75,12406,14000US06075012406,Census Tract 124.06,,1463,10,1453,801,747,0.68,99.32,54.75,51.06
06075012502,"Census Tract 125.02, San Francisco County, California",ACSSF,ca,140,0,9911,6,75,12502,14000US06075012502,Census Tract 125.02,,4188,452,3736,2843,1265,10.79,89.21,67.88,30.21
06075012503,"Census Tract 125.03, San Francisco County, California",ACSSF,ca,140,0,9912,6,75,12503,14000US06075012503,Census Tract 125.03,,3788,311,3477,2497,1303,8.21,91.79,65.92,34.4
06075012504,"Census Tract 125.04, San Francisco County, California",ACSSF,ca,140,0,9913,6,75,12504,14000US06075012504,Census Tract 125.04,,617,0,617,480,183,0,100,77.8,29.66
06075012601,"Census Tract 126.01, San Francisco County, California",ACSSF,ca,140,0,9914,6,75,12601,14000US06075012601,Census Tract 126.01,,2241,0,2241,227,2149,0,100,10.13,95.89
06075012602,"Census Tract 126.02, San Francisco County, California",ACSSF,ca,140,0,9915,6,75,12602,14000US06075012602,Census Tract 126.02,,2977,77,2900,449,2648,2.59,97.41,15.08,88.95
