Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00002_001,SE_A00002_002,SE_A00002_003
6075010101,"Census Tract 101.01, San Francisco County, California",ACSSF,ca,140,0,9875,,,,,6,75,,,10101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010101,Census Tract 101.01,,,,2118,7871.039,0.269087733
6075010102,"Census Tract 101.02, San Francisco County, California",ACSSF,ca,140,0,9876,,,,,6,75,,,10102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010102,Census Tract 101.02,,,,1783,58046.52,0.030716745
6075010201,"Census Tract 102.01, San Francisco County, California",ACSSF,ca,140,0,9877,,,,,6,75,,,10201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010201,Census Tract 102.01,,,,2499,34635.18,0.072152072
6075010202,"Census Tract 102.02, San Francisco County, California",ACSSF,ca,140,0,9878,,,,,6,75,,,10202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010202,Census Tract 102.02,,,,1891,14740.73,0.128283992
6075010300,"Census Tract 103, San Francisco County, California",ACSSF,ca,140,0,9879,,,,,6,75,,,10300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010300,Census Tract 103,,,,3996,38580.31,0.103576156
6075010401,"Census Tract 104.01, San Francisco County, California",ACSSF,ca,140,0,9880,,,,,6,75,,,10401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010401,Census Tract 104.01,,,,2202,40096.98,0.054916857
6075010402,"Census Tract 104.02, San Francisco County, California",ACSSF,ca,140,0,9881,,,,,6,75,,,10402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010402,Census Tract 104.02,,,,2292,30676.72,0.074714632
6075010500,"Census Tract 105, San Francisco County, California",ACSSF,ca,140,0,9882,,,,,6,75,,,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010500,Census Tract 105,,,,3430,12995.31,0.263941377
6075010600,"Census Tract 106, San Francisco County, California",ACSSF,ca,140,0,9883,,,,,6,75,,,10600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010600,Census Tract 106,,,,3277,45333.05,0.072287208
6075010701,"Census Tract 107.01, San Francisco County, California",ACSSF,ca,140,0,9884,,,,,6,75,,,10701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010701,Census Tract 107.01,,,,3458,91423.16,0.037824113
6075010702,"Census Tract 107.02, San Francisco County, California",ACSSF,ca,140,0,9885,,,,,6,75,,,10702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010702,Census Tract 107.02,,,,1584,48149.63,0.03289745
6075010800,"Census Tract 108, San Francisco County, California",ACSSF,ca,140,0,9886,,,,,6,75,,,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010800,Census Tract 108,,,,4999,57270.91,0.087286891
6075010901,"Census Tract 109.01, San Francisco County, California",ACSSF,ca,140,0,9887,,,,,6,75,,,10901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010901,Census Tract 109.01,,,,1948,41049.38,0.047455046
6075010902,"Census Tract 109.02, San Francisco County, California",ACSSF,ca,140,0,9888,,,,,6,75,,,10902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075010902,Census Tract 109.02,,,,2403,48722.32,0.049320306
6075011001,"Census Tract 110.01, San Francisco County, California",ACSSF,ca,140,0,9889,,,,,6,75,,,11001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011001,Census Tract 110.01,,,,2628,57677.71,0.045563532
6075011002,"Census Tract 110.02, San Francisco County, California",ACSSF,ca,140,0,9890,,,,,6,75,,,11002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011002,Census Tract 110.02,,,,2249,48071.99,0.046784001
6075011101,"Census Tract 111.01, San Francisco County, California",ACSSF,ca,140,0,9891,,,,,6,75,,,11101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011101,Census Tract 111.01,,,,2528,53927.86,0.046877437
6075011102,"Census Tract 111.02, San Francisco County, California",ACSSF,ca,140,0,9892,,,,,6,75,,,11102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06075011102,Census Tract 111.02,,,,2024,41706.86,0.048529182
