Census Tract,Total Population,ZIP,Longitude,Latitude,Poverty,Poverty Pctl
6075023200,3972,94124,-122.3861386,37.7277547,27.3,49.12
6075017902,3008,94130,-122.419701,37.8619483,66.7,95.90
6075023103,2890,94124,-122.3759653,37.7356318,71.7,97.95
6075023001,5398,94124,-122.4017602,37.7351925,30.7,54.95
6075023400,3661,94124,-122.3900882,37.7215929,40.1,69.35
6075023102,4549,94124,-122.3844982,37.734492,48.1,79.82
6075980600,690,94124,-122.3685424,37.7231655,31.4,56.07
6075023300,3739,94124,-122.3977689,37.7254139,33.4,59.23
6075061200,3842,94124,-122.3901777,37.7370414,27.4,49.31
6075012502,3674,94102,-122.4125954,37.783933,56.4,88.53
6075061000,4839,94134,-122.3846994,37.7132283,28.5,51.41
6075017802,6367,94103,-122.4087033,37.7760649,41.8,71.91
6075025702,4401,94134,-122.4057589,37.7281305,32.7,58.23
6075023003,4084,94124,-122.3958269,37.7326723,24.9,44.22
6075012501,4293,94102,-122.4109765,37.783016,60.4,91.91
6075020100,6343,94103,-122.4200011,37.7686074,37.3,65.08
6075017601,10343,94103,-122.4107241,37.7794338,28.9,52.11
6075026403,4082,94134,-122.4069033,37.7111894,22.6,39.82
6075026402,5102,94134,-122.403256,37.7164873,30.1,54.15
6075061400,6283,94107,-122.3974733,37.7550917,34.2,60.45
6075012301,2117,94102,-122.4107461,37.7859203,54.7,86.86
6075018000,3457,94103,-122.4022764,37.7753304,26.1,46.61
6075012402,4662,94102,-122.4177669,37.780125,33.3,59.08
6075025800,2224,94134,-122.4020019,37.7216202,27.3,49.12
6075012000,3973,94109,-122.4185205,37.7879651,36.9,64.50
6075033204,4698,94132,-122.4804118,37.7196259,47.1,78.63
6075012401,4667,94102,-122.415789,37.7830511,47.7,79.31
6075010700,5548,94133,-122.4100466,37.798514,56.9,89.06
6075025500,9684,94112,-122.4372627,37.7280611,18.7,31.26
6075026404,2897,94134,-122.4152838,37.7096499,30.6,54.79
6075020200,6131,94103,-122.4241789,37.7671163,30.4,54.55
6075022802,2438,94110,-122.4062322,37.7589152,29.6,53.27
6075026100,7455,94112,-122.4431582,37.7196219,22,38.33
6075020900,4597,94110,-122.4184125,37.7518186,25.7,45.74
6075017700,1915,94103,-122.4124868,37.7680392,21.3,36.80
6075017801,3891,94107,-122.4011589,37.7820284,48,79.66
6075011300,2843,94108,-122.4093492,37.7946971,43.4,73.89
6075026401,3738,94134,-122.4112834,37.7135251,22.2,38.91
6075022901,4856,94110,-122.4139453,37.7511975,32,57.01
6075980501,507,94134,-122.4191554,37.7162957,58.8,90.74
6075025701,5088,94134,-122.4121411,37.7315763,19,32.05
6075031400,7096,94112,-122.4571446,37.7147206,29.6,53.27
6075022801,5769,94110,-122.4125093,37.7607261,26.4,47.32
