FIPS,Geo_QName,Geo_FILEID,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_GEOID,Geo_NAME,Geo_BTTR,Median Household Income
06075010101,"Census Tract 101.01, San Francisco County, California",ACSSF,140,0,9875,06,075,10101,14000US06075010101,Census Tract 101.01,,78661
06075010102,"Census Tract 101.02, San Francisco County, California",ACSSF,140,0,9876,06,075,10102,14000US06075010102,Census Tract 101.02,,
06075010201,"Census Tract 102.01, San Francisco County, California",ACSSF,140,0,9877,06,075,10201,14000US06075010201,Census Tract 102.01,,159647
06075010202,"Census Tract 102.02, San Francisco County, California",ACSSF,140,0,9878,06,075,10202,14000US06075010202,Census Tract 102.02,,192500
06075010300,"Census Tract 103, San Francisco County, California",ACSSF,140,0,9879,06,075,10300,14000US06075010300,Census Tract 103,,136643
06075010401,"Census Tract 104.01, San Francisco County, California",ACSSF,140,0,9880,06,075,10401,14000US06075010401,Census Tract 104.01,,115170
06075010402,"Census Tract 104.02, San Francisco County, California",ACSSF,140,0,9881,06,075,10402,14000US06075010402,Census Tract 104.02,,176192
06075010500,"Census Tract 105, San Francisco County, California",ACSSF,140,0,9882,06,075,10500,14000US06075010500,Census Tract 105,,155769
06075010600,"Census Tract 106, San Francisco County, California",ACSSF,140,0,9883,06,075,10600,14000US06075010600,Census Tract 106,,68235
06075010701,"Census Tract 107.01, San Francisco County, California",ACSSF,140,0,9884,06,075,10701,14000US06075010701,Census Tract 107.01,,22345
06075010702,"Census Tract 107.02, San Francisco County, California",ACSSF,140,0,9885,06,075,10702,14000US06075010702,Census Tract 107.02,,73542
06075010800,"Census Tract 108, San Francisco County, California",ACSSF,140,0,9886,06,075,10800,14000US06075010800,Census Tract 108,,133958
06075010901,"Census Tract 109.01, San Francisco County, California",ACSSF,140,0,9887,06,075,10901,14000US06075010901,Census Tract 109.01,,154767
06075010902,"Census Tract 109.02, San Francisco County, California",ACSSF,140,0,9888,06,075,10902,14000US06075010902,Census Tract 109.02,,126334
06075011001,"Census Tract 110.01, San Francisco County, California",ACSSF,140,0,9889,06,075,11001,14000US06075011001,Census Tract 110.01,,117011
06075011002,"Census Tract 110.02, San Francisco County, California",ACSSF,140,0,9890,06,075,11002,14000US06075011002,Census Tract 110.02,,128661
06075011101,"Census Tract 111.01, San Francisco County, California",ACSSF,140,0,9891,06,075,11101,14000US06075011101,Census Tract 111.01,,112162
06075011102,"Census Tract 111.02, San Francisco County, California",ACSSF,140,0,9892,06,075,11102,14000US06075011102,Census Tract 111.02,,100707
06075011200,"Census Tract 112, San Francisco County, California",ACSSF,140,0,9893,06,075,11200,14000US06075011200,Census Tract 112,,146951
06075011300,"Census Tract 113, San Francisco County, California",ACSSF,140,0,9894,06,075,11300,14000US06075011300,Census Tract 113,,36382
06075011700,"Census Tract 117, San Francisco County, California",ACSSF,140,0,9895,06,075,11700,14000US06075011700,Census Tract 117,,78558
06075011800,"Census Tract 118, San Francisco County, California",ACSSF,140,0,9896,06,075,11800,14000US06075011800,Census Tract 118,,40321
06075011901,"Census Tract 119.01, San Francisco County, California",ACSSF,140,0,9897,06,075,11901,14000US06075011901,Census Tract 119.01,,109934
06075011902,"Census Tract 119.02, San Francisco County, California",ACSSF,140,0,9898,06,075,11902,14000US06075011902,Census Tract 119.02,,76156
06075012001,"Census Tract 120.01, San Francisco County, California",ACSSF,140,0,9899,06,075,12001,14000US06075012001,Census Tract 120.01,,68811
06075012002,"Census Tract 120.02, San Francisco County, California",ACSSF,140,0,9900,06,075,12002,14000US06075012002,Census Tract 120.02,,63016
06075012100,"Census Tract 121, San Francisco County, California",ACSSF,140,0,9901,06,075,12100,14000US06075012100,Census Tract 121,,89063
