FIPS,Pollution_Burden_Pctl,Asthma_Pctl,Low_Birth_Weight_Pctl,Cardiovascular_Disease_Pctl,Poverty_Pctl,Health_Index
6075023200,88.31,96.44,96.82,45.8,49.12,376.49
6075017902,88.51,94.28,98.2,9.73,95.9,386.62
6075023103,81.89,96.44,95.32,45.8,97.95,417.4
6075023001,81.12,96.44,82.28,45.8,54.95,360.59
6075023400,80.44,96.44,80.16,45.8,69.35,372.19
6075023102,67.97,96.44,98.33,45.8,79.82,388.36
6075980600,69.18,96.44,99.97,45.8,56.07,367.46
6075023300,68.29,96.44,56.88,45.8,59.23,326.64
6075061200,62.86,96.44,76.12,45.8,49.31,330.53
6075012502,50.8,81.72,96.91,16.48,88.53,334.44
6075061000,90.4,77.32,58.79,14.99,51.41,292.91
6075017802,78.27,88.91,74.02,29.3,71.91,342.41
6075025702,63.47,73.64,97.36,25.95,58.23,318.65
6075023003,60.44,96.44,98.26,45.8,44.22,345.16
6075012501,48.33,86.85,81.33,20.5,91.91,328.92
6075020100,62.73,80.99,83.5,17.58,65.08,309.88
6075017601,70.32,92.15,79,37.3,52.11,330.88
6075026403,65.09,68.15,41.72,23.47,39.82,238.25
6075026402,65.76,77.18,87.44,33.5,54.15,318.03
6075061400,90.7,48.67,65.83,17.8,60.45,283.45
6075012301,48.97,74.33,7.66,10.22,86.86,228.04
6075018000,79.18,75.59,52.36,21.3,46.61,275.04
6075012402,49.66,62.5,86.03,6.69,59.08,263.96
6075025800,52.18,77.18,17.21,33.5,49.12,229.19
6075012000,51.5,42.76,56.35,11.84,64.5,226.95
6075033204,31.1,38.12,98.9,28.98,78.63,275.73
6075012401,40.8,56.21,87.77,4.14,79.31,268.23
6075010700,49.47,31.23,21.62,10.36,89.06,201.74
6075025500,45.71,60.77,76.64,35.09,31.26,249.47
6075026404,29.66,59.98,99.02,17.11,54.79,260.56
6075020200,46.11,86.55,86.03,25.21,54.55,298.45
6075022802,82.84,66.44,3.12,26.58,53.27,232.25
6075026100,34,60.77,87.09,35.09,38.33,255.28
6075020900,40.09,74.21,95.83,36.42,45.74,292.29
6075017700,88.14,81.06,61.95,19.68,36.8,287.63
6075017801,56.99,73.55,27.29,22.92,79.66,260.41
6075011300,41.43,9.12,96.65,0.75,73.89,221.84
6075026401,31.85,77.18,90.39,33.5,38.91,271.83
6075022901,39.13,74.21,45.06,36.42,57.01,251.83
6075980501,16.49,47.88,97.96,8.45,90.74,261.52
6075025701,49.62,69.12,49.28,24,32.05,224.07
6075031400,28.05,58.24,78.65,31.68,53.27,249.89
6075022801,41.88,74.21,65.83,36.42,47.32,265.66
6075061100,43.16,7.51,33.95,0.1,96.62,181.34
6075012302,48.66,55.48,59.19,3.46,53.87,220.66
6075022903,82.45,72.62,12.59,34.56,40.55,242.77
6075011700,51.35,56.47,0.32,2.9,59.23,170.27
6075012202,33.79,42.76,25.66,11.84,86.68,200.73
6075011800,39.83,21.14,23.06,7.8,75.52,167.35
6075020800,37.14,72.61,53.16,33.6,43.73,240.24
6075031201,24.32,59.32,69.53,33.29,39.62,226.08
6075010600,45.13,31.23,23.66,10.36,62.25,172.63
6075022902,35,74.21,56.12,36.42,36.42,238.17
6075012201,40.04,42.76,72.85,11.84,58.02,225.51
6075016802,47.31,76.5,57.56,12.56,34.21,228.14
6075026001,19.09,60.77,51.31,35.09,58.23,224.49
6075031302,25.72,26.86,98.96,11.44,38.13,201.11
6075010100,48.56,27.13,28.77,6.33,80.11,190.9
6075025100,81.19,74.21,29.46,36.28,16.32,237.46
6075033201,24.47,38.12,NA,28.98,96.33,187.9
6075060700,79.63,16.63,70.81,5.02,24.72,196.81
6075026200,30.95,51.38,44.77,23.69,48.73,199.52
6075047701,32.01,25.22,58.02,25.07,41.66,181.98
6075015801,25.71,51.86,99.72,6.93,46.82,231.04
6075042700,29.81,25.22,68.71,25.07,47.32,196.13
6075012100,49.05,37.7,39.89,2.22,40.34,169.2
6075022803,36.52,74.21,10.85,36.42,40.11,198.11
6075031202,31.76,60.77,4.54,35.09,49.31,181.47
6075047902,35.37,25.22,93.92,25.07,18.18,197.76
6075025900,21.33,77.18,74.02,33.5,18.44,224.47
6075026004,17.61,60.77,69.16,35.09,36.11,218.74
6075016100,22.02,49.79,29.88,3.5,90.05,195.24
6075031301,29.56,18.62,94.66,6.37,35.57,184.78
6075060502,6.04,70.38,91.54,25.74,89.76,283.46
6075025402,26.76,74.21,53.85,36.42,21.27,212.51
6075016000,26.96,78.73,20.89,20.03,54.95,201.56
6075011100,48.3,42.76,24.31,11.84,27.35,154.56
6075026301,10.39,60.77,57.72,35.09,50.85,214.82
6075033203,25.61,38.12,21.26,28.98,70.84,184.81
6075025403,33.42,37.03,58.79,6.47,48.2,183.91
6075010800,39.85,12.2,71.03,0.6,41.48,165.16
6075011200,39.3,14.1,76.82,2.28,27.85,160.35
6075033100,17.8,38.12,87.97,28.98,22.47,195.34
6075016200,40.87,94.7,18.17,43.78,33,230.52
6075025600,27.24,55.56,36.14,16.94,24.42,160.3
6075047802,32.56,25.22,45.06,25.07,40.8,168.71
6075060400,25.69,37.94,55.85,28.61,22.71,170.8
6075020700,26.21,74.21,57.56,36.42,17.49,211.89
6075010500,37.11,57.58,56.61,7.14,40.55,198.99
6075047801,31.57,25.22,52.36,25.07,20.95,155.17
6075047702,33.86,25.22,36.14,25.07,35.35,155.64
6075032802,24.08,6.83,97.9,2.9,15.03,146.74
6075025200,43.88,74.21,13.55,36.42,10.14,178.2
6075032801,27.07,20.92,63.32,14.52,21.27,147.1
6075011901,38.02,32.6,91.28,6.16,14.66,182.72
6075045200,42.68,11.02,35.6,9.92,32.27,131.49
6075033000,27.43,21.29,49.91,14.1,25.43,138.16
6075042601,27.95,25.22,47.1,25.07,32.27,157.61
6075061500,62.99,21.44,73.07,1.86,22.01,181.37
6075015200,42,38.56,29.15,3.78,36.28,149.77
6075025401,21.72,63.32,57.56,23.94,35.15,201.69
6075011000,34.4,42.76,22.65,11.84,27.05,138.7
6075040200,39.37,8.75,55.38,6.82,25.43,135.75
6075047901,23.95,25.22,40.47,25.07,27.35,142.06
6075032602,36.42,14.38,28.36,13.6,29.46,122.22
6075025300,28.79,74.21,23.27,36.42,19.89,182.58
6075035300,10.5,23.99,77.19,18.52,35.75,165.95
6075010300,48.92,24.81,16.63,6.02,24.72,121.1
6075016300,24.39,54.22,76.44,6.75,19.6,181.4
6075026003,12.53,55.23,28.07,26.15,14.79,136.77
6075026302,7.87,39.01,81.22,9,34.7,171.8
6075015900,24.49,30.65,38.71,0.69,50.01,144.55
6075022600,75.16,30.43,63.32,7.02,3.18,179.11
6075015300,39.08,62.67,13.14,12.38,6.48,133.75
6075022704,76.55,44.83,23.66,10.98,16.82,172.84
6075010400,49.7,27.59,23.92,6.67,17.71,125.59
6075022702,76.69,48.67,31.08,17.8,4.72,178.96
6075035400,7.49,24.14,77.8,18.73,22.01,150.17
6075015500,25.46,37.66,9.64,2.42,41.48,116.66
6075042800,34.08,17.4,87.97,14.52,1.98,155.95
6075011902,39.27,15.69,62.39,0.34,29.46,147.15
6075026303,7.24,38.32,46.77,11.84,29.46,133.63
6075016500,21.37,43.86,18.57,13.16,31.55,128.51
6075026002,9.12,47.62,50.49,16.56,34.48,158.27
6075035202,10.96,7.69,62.98,4.44,35.57,121.64
6075032601,27.45,12.87,43.55,10.9,30.46,125.23
6075047600,43.76,10.21,33.44,6.89,14.66,108.96
6075035201,8.81,7.45,79.91,3.93,31.73,131.83
6075015700,25.45,14.97,22.74,0.85,31.26,95.27
6075045100,17.76,11.02,50.19,9.92,17.89,106.78
6075032902,11.67,6.78,66.83,2.68,27.85,115.81
6075030201,18.31,14.38,83.5,13.6,12.16,141.95
6075040100,23.5,8.94,43.08,7.13,22.01,104.66
6075042602,35.41,7.43,39.52,4.08,6.08,92.52
6075021000,23.66,70.41,5.34,31.84,22.47,153.72
6075013300,33.18,9.22,43.79,2.99,24.17,113.35
6075016900,11.79,16.35,82.14,9,18.44,137.72
6075016600,14.42,51.93,82.46,19.35,17.19,185.35
6075030900,30.73,23.93,33.44,11.63,8.38,108.11
6075015100,38.42,42.76,0.42,11.84,13.73,107.17
6075013500,38.62,62.67,3.48,12.38,17.19,134.34
6075010900,36.32,30.75,12.97,5,27.85,112.89
6075015600,14.28,10.73,24.57,9.07,37.89,96.54
6075015400,19.25,21.46,58.56,6.82,7.24,113.33
6075013101,41.29,16.59,68.86,0.75,5.92,133.41
6075032700,20.25,14.38,0.65,13.6,12.69,61.57
6075013400,34.47,62.67,20.89,12.38,1.37,131.78
6075032901,14.75,24.14,15.36,18.73,11.44,84.42
6075010200,48.4,27.57,34.18,3.85,4.02,118.02
