Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A20001_001,SE_A20001_002,SE_A20001_003,SE_A20001_004,SE_A20001_005,PCT_SE_A20001_002,PCT_SE_A20001_003,PCT_SE_A20001_004,PCT_SE_A20001_005,SE_A20002_002,SE_A20002_003,SE_A20002_004,SE_A20002_005,SE_A20002_006,SE_A20002_007,SE_A20002_008,SE_A20002_009,SE_A20002_010,SE_A20002_011,SE_A20002_012,SE_A20002_013,SE_A20002_014,SE_A20002_015,SE_A20002_016,SE_A20002_017,SE_A20002_018,SE_A20002_019,SE_A20002_020,SE_A20002_021,SE_A20002_022,SE_A20002_023,SE_A20002_024,SE_A20002_025,SE_A20002_026,PCT_SE_A20002_003,PCT_SE_A20002_004,PCT_SE_A20002_005,PCT_SE_A20002_006,PCT_SE_A20002_008,PCT_SE_A20002_009,PCT_SE_A20002_010,PCT_SE_A20002_011,PCT_SE_A20002_013,PCT_SE_A20002_014,PCT_SE_A20002_015,PCT_SE_A20002_016,PCT_SE_A20002_018,PCT_SE_A20002_019,PCT_SE_A20002_020,PCT_SE_A20002_021,PCT_SE_A20002_023,PCT_SE_A20002_024,PCT_SE_A20002_025,PCT_SE_A20002_026
"06075010101","Census Tract 101.01, San Francisco County, California","ACSSF","ca","140","00","0009875",,,,,"06","075",,,"010101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010101","Census Tract 101.01",,,,2118,129,1989,551,1550,6.09,93.91,26.02,73.18,347,78,269,0,269,96,0,96,39,57,376,0,376,15,361,841,51,790,39,751,458,0,458,458,112,22.48,77.52,0,77.52,0,100,40.62,59.38,0,100,3.99,96.01,6.06,93.94,4.64,89.3,0,100,100,24.45
"06075010102","Census Tract 101.02, San Francisco County, California","ACSSF","ca","140","00","0009876",,,,,"06","075",,,"010102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010102","Census Tract 101.02",,,,1783,0,1783,1045,932,0,100,58.61,52.27,280,0,280,280,35,243,0,243,109,134,238,0,238,35,203,635,0,635,234,401,387,0,387,387,159,0,100,100,12.5,0,100,44.86,55.14,0,100,14.71,85.29,0,100,36.85,63.15,0,100,100,41.09
"06075010201","Census Tract 102.01, San Francisco County, California","ACSSF","ca","140","00","0009877",,,,,"06","075",,,"010201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010201","Census Tract 102.01",,,,2499,29,2470,474,2361,1.16,98.84,18.97,94.48,110,12,98,0,98,230,0,230,0,230,760,0,760,0,760,913,17,896,0,896,486,0,486,474,377,10.91,89.09,0,89.09,0,100,0,100,0,100,0,100,1.86,98.14,0,98.14,0,100,97.53,77.57
"06075010202","Census Tract 102.02, San Francisco County, California","ACSSF","ca","140","00","0009878",,,,,"06","075",,,"010202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010202","Census Tract 102.02",,,,1891,0,1891,417,1681,0,100,22.05,88.89,100,0,100,12,100,200,0,200,2,198,489,0,489,16,489,759,0,759,44,725,343,0,343,343,169,0,100,12,100,0,100,1,99,0,100,3.27,100,0,100,5.8,95.52,0,100,100,49.27
"06075010300","Census Tract 103, San Francisco County, California","ACSSF","ca","140","00","0009879",,,,,"06","075",,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010300","Census Tract 103",,,,3996,53,3943,1096,3314,1.33,98.67,27.43,82.93,145,0,145,3,142,261,11,250,57,243,1065,42,1023,0,1023,1587,0,1587,98,1508,938,0,938,938,398,0,100,2.07,97.93,4.21,95.79,21.84,93.1,3.94,96.06,0,96.06,0,100,6.18,95.02,0,100,100,42.43
"06075010401","Census Tract 104.01, San Francisco County, California","ACSSF","ca","140","00","0009880",,,,,"06","075",,,"010401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010401","Census Tract 104.01",,,,2202,11,2191,373,1999,0.5,99.5,16.94,90.78,486,0,486,33,474,45,0,45,0,45,523,0,523,0,523,915,11,904,107,811,233,0,233,233,146,0,100,6.79,97.53,0,100,0,100,0,100,0,100,1.2,98.8,11.69,88.63,0,100,100,62.66
"06075010402","Census Tract 104.02, San Francisco County, California","ACSSF","ca","140","00","0009881",,,,,"06","075",,,"010402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010402","Census Tract 104.02",,,,2292,149,2143,545,1775,6.5,93.5,23.78,77.44,190,0,190,0,190,170,0,170,2,168,493,88,405,24,403,1021,61,960,112,848,418,0,418,407,166,0,100,0,100,0,100,1.18,98.82,17.85,82.15,4.87,81.74,5.97,94.03,10.97,83.06,0,100,97.37,39.71
"06075010500","Census Tract 105, San Francisco County, California","ACSSF","ca","140","00","0009882",,,,,"06","075",,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010500","Census Tract 105",,,,3430,102,3328,1471,2313,2.97,97.03,42.89,67.43,429,0,429,227,202,236,31,205,43,162,616,10,606,70,536,1259,61,1198,280,918,890,0,890,851,495,0,100,52.91,47.09,13.14,86.86,18.22,68.64,1.62,98.38,11.36,87.01,4.85,95.15,22.24,72.92,0,100,95.62,55.62
"06075010600","Census Tract 106, San Francisco County, California","ACSSF","ca","140","00","0009883",,,,,"06","075",,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010600","Census Tract 106",,,,3277,198,3079,1179,2165,6.04,93.96,35.98,66.07,206,0,206,126,117,410,32,378,25,371,797,61,736,8,736,1182,85,1097,460,683,682,20,662,560,258,0,100,61.17,56.8,7.8,92.2,6.1,90.49,7.65,92.35,1,92.35,7.19,92.81,38.92,57.78,2.93,97.07,82.11,37.83
"06075010701","Census Tract 107.01, San Francisco County, California","ACSSF","ca","140","00","0009884",,,,,"06","075",,,"010701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010701","Census Tract 107.01",,,,3458,100,3358,2481,1025,2.89,97.11,71.75,29.64,236,14,222,222,0,186,0,186,89,97,408,20,388,121,267,1387,66,1321,823,537,1241,0,1241,1226,124,5.93,94.07,94.07,0,0,100,47.85,52.15,4.9,95.1,29.66,65.44,4.76,95.24,59.34,38.72,0,100,98.79,9.99
"06075010702","Census Tract 107.02, San Francisco County, California","ACSSF","ca","140","00","0009885",,,,,"06","075",,,"010702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010702","Census Tract 107.02",,,,1584,143,1441,575,1068,9.03,90.97,36.3,67.42,165,0,165,105,60,155,52,103,0,103,199,25,174,12,162,775,66,709,183,570,290,0,290,275,173,0,100,63.64,36.36,33.55,66.45,0,66.45,12.56,87.44,6.03,81.41,8.52,91.48,23.61,73.55,0,100,94.83,59.66
"06075010800","Census Tract 108, San Francisco County, California","ACSSF","ca","140","00","0009886",,,,,"06","075",,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010800","Census Tract 108",,,,4999,166,4833,1612,3728,3.32,96.68,32.25,74.57,259,0,259,120,139,225,0,225,0,225,1441,112,1329,111,1218,1933,54,1879,264,1630,1141,0,1141,1117,516,0,100,46.33,53.67,0,100,0,100,7.77,92.23,7.7,84.52,2.79,97.21,13.66,84.32,0,100,97.9,45.22
"06075010901","Census Tract 109.01, San Francisco County, California","ACSSF","ca","140","00","0009887",,,,,"06","075",,,"010901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010901","Census Tract 109.01",,,,1948,13,1935,350,1837,0.67,99.33,17.97,94.3,111,0,111,0,111,238,0,238,21,217,781,0,781,15,781,539,13,526,35,491,279,0,279,279,237,0,100,0,100,0,100,8.82,91.18,0,100,1.92,100,2.41,97.59,6.49,91.09,0,100,100,84.95
"06075010902","Census Tract 109.02, San Francisco County, California","ACSSF","ca","140","00","0009888",,,,,"06","075",,,"010902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075010902","Census Tract 109.02",,,,2403,54,2349,551,1966,2.25,97.75,22.93,81.81,64,0,64,0,64,310,0,310,0,310,878,18,860,0,860,543,36,507,72,467,608,0,608,479,265,0,100,0,100,0,100,0,100,2.05,97.95,0,97.95,6.63,93.37,13.26,86,0,100,78.78,43.59
"06075011001","Census Tract 110.01, San Francisco County, California","ACSSF","ca","140","00","0009889",,,,,"06","075",,,"011001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075011001","Census Tract 110.01",,,,2628,194,2434,551,2107,7.38,92.62,20.97,80.18,200,0,200,0,200,119,0,119,11,108,785,11,774,40,734,1114,183,931,124,864,410,0,410,376,201,0,100,0,100,0,100,9.24,90.76,1.4,98.6,5.1,93.5,16.43,83.57,11.13,77.56,0,100,91.71,49.02
"06075011002","Census Tract 110.02, San Francisco County, California","ACSSF","ca","140","00","0009890",,,,,"06","075",,,"011002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075011002","Census Tract 110.02",,,,2249,134,2115,566,1754,5.96,94.04,25.17,77.99,129,0,129,94,35,82,0,82,0,82,802,38,764,13,751,936,96,840,159,681,300,0,300,300,205,0,100,72.87,27.13,0,100,0,100,4.74,95.26,1.62,93.64,10.26,89.74,16.99,72.76,0,100,100,68.33
"06075011101","Census Tract 111.01, San Francisco County, California","ACSSF","ca","140","00","0009891",,,,,"06","075",,,"011101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075011101","Census Tract 111.01",,,,2528,21,2507,779,2123,0.83,99.17,30.81,83.98,104,0,104,12,104,202,1,201,31,170,564,0,564,25,564,1068,20,1048,171,932,590,0,590,540,353,0,100,11.54,100,0.5,99.5,15.35,84.16,0,100,4.43,100,1.87,98.13,16.01,87.27,0,100,91.53,59.83
"06075011102","Census Tract 111.02, San Francisco County, California","ACSSF","ca","140","00","0009892",,,,,"06","075",,,"011102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075011102","Census Tract 111.02",,,,1981,93,1888,533,1413,4.69,95.31,26.91,71.33,78,27,51,26,34,112,0,112,11,112,684,0,684,31,653,760,66,694,118,576,347,0,347,347,38,34.62,65.38,33.33,43.59,0,100,9.82,100,0,100,4.53,95.47,8.68,91.32,15.53,75.79,0,100,100,10.95
"06075011200","Census Tract 112, San Francisco County, California","ACSSF","ca","140","00","0009893",,,,,"06","075",,,"011200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06075011200","Census Tract 112",,,,3120,83,3037,822,2604,2.66,97.34,26.35,83.46,204,0,204,37,179,336,0,336,17,319,714,0,714,30,695,1264,83,1181,142,1066,602,0,602,596,345,0,100,18.14,87.75,0,100,5.06,94.94,0,100,4.2,97.34,6.57,93.43,11.23,84.34,0,100,99,57.31
