Facility Name,Facility Type,Address,Latitude,Longitude
California Pacific Med Ctr-pacific Campus,Hospital,"2333 BUCHANAN STREET
San Francisco, CA",37.79142444,-122.4310376
California Pacific Med Ctr-california West,Hospital,"3700 CALIFORNIA STREET
San Francisco, CA",37.78614406,-122.4559117
"St. Mary's Medical Center, San Francisco",Hospital,"450 STANYAN STREET
San Francisco, CA",37.77380449,-122.4544068
Ucsf Medical Center,Hospital,"505 PARNASSUS AVENUE
San Francisco, CA",37.76336734,-122.4585674
Chinese Hospital,Hospital,"845 JACKSON STREET
San Francisco, CA","37.79566209,",-122.4091723
Ucsf Medical Center At Mount Zion,Hospital,"1600 DIVISADERO STREET
San Francisco, CA
",37.78477686,-122.4397258
California Pacific Med Ctr-california East,Hospital,"3698 SACRAMENTO STREET
San Francisco, CA",37.78740232,-122.4535495
St. Francis Memorial Hospital,Hospital,"900 HYDE STREET
San Francisco, CA",37.78956798,-122.4170662
California Pacific Medical Center - St. Luke's Campus,Hospital,"3555 CESAR CHAVEZ STREET
San Francisco, CA
",37.74804296,-122.4212489
San Francisco General Hospital,Hospital,"1001 POTRERO AVENUE
San Francisco, CA
",37.75606363,-122.4077197
Kaiser Fnd Hosp - San Francisco,Hospital,"2425 GEARY BOULEVARD
San Francisco, CA
",37.78268324,-122.4437068
California Pacific Med Ctr-davies Campus,Hospital,"CASTRO AND DUBOCE STREETS
San Francisco, CA
",37.76905419,-122.4358177
Laguna Honda Hospital And Rehabilitation Center,Hospital,"375 LAGUNA HONDA BOULEVARD
San Francisco, CA",37.74762573,-122.4587178
